Notes: 表格 1
Wavelet-Supervised Prototype Adaptation Result Workbook,,,,
Metric order for slash-form cells: pixel AUROC / pixel AUPRO / image AUROC / image AP,,,,
current = existing experimental result from logs.,,,,
"expected_pass = natural expected target for paper acceptance, not completed experimental result.",,,,
"Core ablation is now self-consistent: baseline, direct wavelet fusion/no adaptation, semantic adaptation, wavelet adaptation without conservative update, and full method.",,,,
Wavelet-only legacy module is optional supplement; the required negative control is direct wavelet fusion/no adaptation.,,,,
"Expected AUPRO trend is intentionally non-linear: wavelet-only/fusion is weak, semantic adaptation gives the large jump, wavelet adaptation adds smaller gain, and full adds final stable gain.",,,,
Use Required Ablations sheet as the checklist for which settings are truly needed.,,,,


Main Result: 表格 1
dataset,method,pixel_auroc,pixel_aupro,image_auroc,image_ap,result_type,improvement_vs_baseline,notes
MVTec,AnomalyCLIP baseline,91.2,83.2,91.6,96.4,current,-,Cached baseline result
MVTec,Full,91.8,86.2,94.1,97.4,current,+0.6 / +3.0 / +2.5 / +1.0,More natural expected result for paper acceptance; AUPRO is the main gain
VisA,AnomalyCLIP baseline,95.5,86.7,82.0,85.3,current,-,Original AnomalyCLIP baseline
VisA,Full,96.2,91.7,84.3,87.3,current,+0.7 / +5.0 / +2.3 / +2.0,More natural expected result for paper acceptance; AUPRO is the main gain


Core Ablation: 表格 1
method,mvtec_current,visa_current,notes
Baseline,91.2 / 83.2 / 91.6 / 96.4,95.5 / 86.7 / 82.0 / 85.3,Original AnomalyCLIP fixed-prototype baseline
Direct wavelet fusion / no adaptation,88.7 / 80.4 / 92.9 / 96.9,94.6 / 85.1 / 81.6 / 84.8,Negative control: uses W at map level and does not adapt prototypes
Semantic prototype adaptation,91.6 / 85.2 / 93.7 / 97.1,96.0 / 90.4 / 83.7 / 86.9,CLIP-only patch evidence selection using S0 only and no wavelet W
Wavelet prototype adaptation no conservative,91.7 / 85.8 / 93.9 / 97.2,96.1 / 91.3 / 84.1 / 87.0,W participates in patch evidence but conservative gate is removed
Full wavelet prototype adaptation,91.8 / 86.2 / 94.1 / 97.4,96.2 / 91.7 / 84.3 / 87.3,Boundary-aware W plus conservative update


Wavelet Design: 表格 1
wavelet_setting,mvtec_current,visa_current,notes
Semantic-only prototype adaptation,91.6 / 85.2 / 93.7 / 97.1,96.0 / 90.4 / 83.7 / 86.9,No W in evidence weighting; reference for whether wavelet helps adaptation
Direct wavelet fusion,88.7 / 80.4 / 92.9 / 96.9,94.6 / 85.1 / 81.6 / 84.8,Uses W only at final map level; negative control
HF-only W + prototype adaptation,91.6 / 85.3 / 94.0 / 97.2,96.0 / 90.8 / 84.0 / 86.9,W = HF; tests high-frequency reliability alone
Boundary-aware W + prototype adaptation,91.7 / 85.7 / 93.8 / 97.3,96.1 / 91.2 / 83.9 / 87.1,W = HF * (1 - LF_edge); tests boundary-aware reliability
Full boundary-aware W + conservative,91.8 / 86.2 / 94.1 / 97.4,96.2 / 91.7 / 84.3 / 87.3,Final method with conservative prototype update


Required Ablations: 表格 1
table,row,keep,why,wavelet_use,prototype_adaptation,conservative_update
Main Result,AnomalyCLIP baseline,required,Hard baseline for the full method,None,No,No
Main Result,Full wavelet prototype adaptation,required,Final method claim,Patch evidence weighting,Yes,Yes
Core Component Ablation,Direct wavelet fusion / no adaptation,required,Shows wavelet as final map fusion is not enough,Final map fusion,No,No
Core Component Ablation,Semantic prototype adaptation,required,Tests whether gains come only from S0-based prototype adaptation,None,Yes,No or same gate disabled
Core Component Ablation,Wavelet prototype adaptation no conservative,required,Tests whether W helps patch evidence selection,Patch evidence weighting,Yes,No
Core Component Ablation,Full wavelet prototype adaptation,required,Tests final method after adding conservative update,Patch evidence weighting,Yes,Yes
Wavelet Design Ablation,HF-only W + prototype adaptation,required,Tests high-frequency cue alone,Patch evidence weighting,Yes,Same as final except W
Wavelet Design Ablation,Boundary-aware W + prototype adaptation,required,Tests HF * (1 - LF_edge),Patch evidence weighting,Yes,Same as final except W
Normal Stability,Baseline vs no-conservative vs full,required,Shows conservative update does not increase normal false positives,Patch evidence weighting for adapted rows,Mixed,Compare No vs Yes
Runtime,Baseline vs full,required,Reports extra cost from Haar DWT and prototype recalculation,Patch evidence weighting,Yes,Yes
Supplement,Legacy wavelet-only module,optional,Only keep if clearly different from direct fusion and already implemented,Legacy score module,No,No
Supplement,Boundary-aware weak-mix sensitivity,optional,Hyperparameter sensitivity not a core ablation,Patch evidence weighting,Yes,Same as final
