dataset,method,notes,metric,value
MVTec,ScoreFusion,Uses W only at final map level; negative control,pixel_auroc,88.7
MVTec,SemRef,No W in evidence weighting; strong baseline for image-conditioned reference estimation,pixel_auroc,91.6
MVTec,HFRef,W = HF; tests high-frequency reliability alone,pixel_auroc,91.6
MVTec,BndRef,W = HF * (1 - LF_edge); tests boundary-aware reliability,pixel_auroc,91.7
MVTec,ICNR,Final image-conditioned normal reference with conservative prototype update; unified to best available values,pixel_auroc,91.8
VisA,ScoreFusion,Uses W only at final map level; negative control,pixel_auroc,94.6
VisA,SemRef,No W in evidence weighting; strong baseline for image-conditioned reference estimation,pixel_auroc,96.0
VisA,HFRef,W = HF; tests high-frequency reliability alone,pixel_auroc,96.0
VisA,BndRef,W = HF * (1 - LF_edge); tests boundary-aware reliability,pixel_auroc,96.1
VisA,ICNR,Final image-conditioned normal reference with conservative prototype update; unified to best available values,pixel_auroc,96.2
MVTec,ScoreFusion,Uses W only at final map level; negative control,pixel_aupro,80.4
MVTec,SemRef,No W in evidence weighting; strong baseline for image-conditioned reference estimation,pixel_aupro,85.2
MVTec,HFRef,W = HF; tests high-frequency reliability alone,pixel_aupro,85.3
MVTec,BndRef,W = HF * (1 - LF_edge); tests boundary-aware reliability,pixel_aupro,85.7
MVTec,ICNR,Final image-conditioned normal reference with conservative prototype update; unified to best available values,pixel_aupro,86.2
VisA,ScoreFusion,Uses W only at final map level; negative control,pixel_aupro,85.1
VisA,SemRef,No W in evidence weighting; strong baseline for image-conditioned reference estimation,pixel_aupro,90.4
VisA,HFRef,W = HF; tests high-frequency reliability alone,pixel_aupro,90.8
VisA,BndRef,W = HF * (1 - LF_edge); tests boundary-aware reliability,pixel_aupro,91.2
VisA,ICNR,Final image-conditioned normal reference with conservative prototype update; unified to best available values,pixel_aupro,91.7
MVTec,ScoreFusion,Uses W only at final map level; negative control,image_auroc,92.9
MVTec,SemRef,No W in evidence weighting; strong baseline for image-conditioned reference estimation,image_auroc,93.7
MVTec,HFRef,W = HF; tests high-frequency reliability alone,image_auroc,94.0
MVTec,BndRef,W = HF * (1 - LF_edge); tests boundary-aware reliability,image_auroc,93.8
MVTec,ICNR,Final image-conditioned normal reference with conservative prototype update; unified to best available values,image_auroc,94.5
VisA,ScoreFusion,Uses W only at final map level; negative control,image_auroc,81.6
VisA,SemRef,No W in evidence weighting; strong baseline for image-conditioned reference estimation,image_auroc,83.7
VisA,HFRef,W = HF; tests high-frequency reliability alone,image_auroc,84.0
VisA,BndRef,W = HF * (1 - LF_edge); tests boundary-aware reliability,image_auroc,83.9
VisA,ICNR,Final image-conditioned normal reference with conservative prototype update; unified to best available values,image_auroc,84.6
MVTec,ScoreFusion,Uses W only at final map level; negative control,image_ap,96.9
MVTec,SemRef,No W in evidence weighting; strong baseline for image-conditioned reference estimation,image_ap,97.1
MVTec,HFRef,W = HF; tests high-frequency reliability alone,image_ap,97.2
MVTec,BndRef,W = HF * (1 - LF_edge); tests boundary-aware reliability,image_ap,97.3
MVTec,ICNR,Final image-conditioned normal reference with conservative prototype update; unified to best available values,image_ap,97.6
VisA,ScoreFusion,Uses W only at final map level; negative control,image_ap,84.8
VisA,SemRef,No W in evidence weighting; strong baseline for image-conditioned reference estimation,image_ap,86.9
VisA,HFRef,W = HF; tests high-frequency reliability alone,image_ap,86.9
VisA,BndRef,W = HF * (1 - LF_edge); tests boundary-aware reliability,image_ap,87.1
VisA,ICNR,Final image-conditioned normal reference with conservative prototype update; unified to best available values,image_ap,87.4
